fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Activity_stop-halt.v	activity_stop#cease.v	activity_stop#discontinue.v	activity_stop#quit.v	activity_stop#stop.v
frame-Addiction-addict.n	addiction#addiction.n	addiction#hooked.a	addiction#junkie.n
frame-Addiction-alcoholic.n	addiction#alcoholism.n
frame-Adding_up-tally.v	adding_up#add_up.v	adding_up#total.v
frame-Adducing-cite.v	adducing#adduce.v	adducing#name.v
frame-Adjusting-adjust.v	adjusting#adjustment.n
frame-Adjusting-calibrate.v	adjusting#calibration.n
frame-Adorning-deck.v	adorning#adorn.v	adorning#decorate.v
frame-Adorning-dot.v	adorning#stud.v
frame-Aesthetics-fair.a	aesthetics#lovely.a
frame-Age-of.prep	age#of.c
frame-Aggregate-assemblage.n	aggregate#collection.n
frame-Aggregate-band.n	aggregate#circle.n
frame-Aggregate-class.n	aggregate#family.n
frame-Aggregate-clump.n	aggregate#cluster.n	aggregate#package.n
frame-Aggregate-crew.n	aggregate#bunch.n	aggregate#gang.n
frame-Aggregate-herd.n	aggregate#crowd.n
frame-Aggregate-host.n	aggregate#horde.n	aggregate#legion.n
frame-Aggregate-mob.n	aggregate#batch.n	aggregate#flock.n	aggregate#heap.n	aggregate#multitude.n	aggregate#passel.n	aggregate#slew.n	aggregate#throng.n
frame-Aggregate-pack.n	aggregate#clique.n	aggregate#coterie.n
frame-Aggregate-team.n	aggregate#squad.n
frame-Aggregate-variety.n	aggregate#assortment.n
frame-Aging-age.v	aging#aging.a	aging#mature.v
frame-Agree_or_refuse_to_act-refuse.v	agree_or_refuse_to_act#decline.v	agree_or_refuse_to_act#refusal.n
frame-Agriculture-farm.v	agriculture#cultivate.v	agriculture#farming.n
frame-Aiming-aim.v	aiming#aim.n	aiming#direct.v	aiming#target.n	aiming#target.v
frame-Amalgamation-fuse.v	amalgamation#amalgamate.v	amalgamation#blend.v	amalgamation#combine.v	amalgamation#commingle.v	amalgamation#intermix.v	amalgamation#merge.v	amalgamation#merger.n	amalgamation#unify.v	amalgamation#unite.v
frame-Amassing-amass.v	amassing#accumulate.v	amassing#hoard.v
frame-Ambient_temperature-cold.n	ambient_temperature#cold.a
frame-Ambient_temperature-cool.a	ambient_temperature#chilly.a
frame-Ammunition-ammo.n	ammunition#ammunition.n
frame-Amounting_to-total.v	amounting_to#amount.v	amounting_to#number.v	amounting_to#total.n
frame-Annoyance-annoyed.a	annoyance#irritated.a
frame-Appeal-appeal.n	appeal#appellant.n	appeal#appellate.a
frame-Appearance-look.v	appearance#appear.v	appearance#seem.v
frame-Appearance-reek.v	appearance#stink.v
frame-Apply_heat-bake.v	apply_heat#broil.v
frame-Apply_heat-blanch.v	apply_heat#parboil.v
frame-Apply_heat-char.v	apply_heat#sear.v	apply_heat#singe.v
frame-Apply_heat-fry.v	apply_heat#saute.v
frame-Apply_heat-stew.v	apply_heat#simmer.v
frame-Appointing-name.v	appointing#designate.v
frame-Arraignment-arraign.v	arraignment#arraignment.n
frame-Arranging-deploy.v	arranging#deployment.n
frame-Arranging-set_up.v	arranging#arrange.v
frame-Arrest-bust.v	arrest#bust.n
frame-Arrest-cop.v	arrest#apprehend.v	arrest#apprehension.n	arrest#arrest.n	arrest#arrest.v	arrest#collar.v	arrest#nab.v
frame-Arriving-arrive.v	arriving#arrival.n
frame-Arriving-come.v	arriving#approach.v
frame-Arriving-enter.v	arriving#entrance.n	arriving#entry.n
frame-Arriving-return.v	arriving#return.n
frame-Arson-arson.n	arson#arsonist.n
frame-Artificiality-phoney.n	artificiality#bogus.a	artificiality#fake.a	artificiality#phoney.a
frame-Assemble-meet.v	assemble#assemble.v
frame-Assessing-judge.v	assessing#appraisal.n	assessing#appraise.v	assessing#assess.v	assessing#assessment.n	assessing#evaluate.v	assessing#evaluation.n	assessing#value.v
frame-Assessing-rank.v	assessing#grade.v	assessing#rate.v
frame-Assessing-reappraise.v	assessing#reappraisal.n
frame-Assistance-aid.v	assistance#aid_((act)).n	assistance#aid_((entity)).n	assistance#assist.v	assistance#assistance.n	assistance#help.n	assistance#help.v	assistance#serve.v
frame-Atonement-atone.v	atonement#atonement.n	atonement#expiate.v	atonement#expiation.n	atonement#expiatory.a
frame-Attaching-append.v	attaching#tack_on.v
frame-Attaching-fetter.v	attaching#shackle.v
frame-Attaching-fix.v	attaching#adhere.v	attaching#attach.v	attaching#attachment_act.n	attaching#attachment_item.n	attaching#bond.v	attaching#fasten.v	attaching#glue.v	attaching#gum.v	attaching#paste.v	attaching#secure.v	attaching#stick.v
frame-Attaching-manacle.v	attaching#handcuff.v
frame-Attaching-tie.v	attaching#bind.v	attaching#connect.v	attaching#link.v	attaching#tying.n	attaching#yoke.v
frame-Attack-ambush.v	attack#ambush.n
frame-Attack-assail.v	attack#assault.v	attack#attack.n	attack#attack.v	attack#attacker.n	attack#onset.n	attack#onslaught.n
frame-Attack-bomb.v	attack#bombing.n
frame-Attack-charge.v	attack#charge.n
frame-Attack-infiltrate.v	attack#infiltration.n
frame-Attack-invade.v	attack#invader.n
frame-Attack-raid.v	attack#raid.n
frame-Attack-strike.v	attack#strike.n
frame-Attempt-shot.n	attempt#stab.n
frame-Attempt-try.v	attempt#attempt.n	attempt#attempt.v	attempt#effort.n	attempt#endeavor.n	attempt#endeavor.v	attempt#try.n
frame-Attempt_suasion-admonish.v	attempt_suasion#discourage.v
frame-Attempt_suasion-coax.v	attempt_suasion#cajole.v	attempt_suasion#wheedle.v
frame-Attempt_suasion-spur.v	attempt_suasion#advocate.v	attempt_suasion#exhort.v	attempt_suasion#press.v	attempt_suasion#pressure.v	attempt_suasion#urge.v
frame-Attempt_suasion-tempt.v	attempt_suasion#entice.v
frame-Attending-attend.v	attending#attendance.n
frame-Attention-attention.n	attention#attentive.a
frame-Attention-closely.adv	attention#close.a	attention#closely.c
frame-Attention_getting-hey.intj	attention_getting#hey.c
frame-Attention_getting-pal.n	attention_getting#buddy.n
frame-Attention_getting-yoohoo.intj	attention_getting#yoohoo.c
frame-Attributed_information-according_to.prep	attributed_information#according_to.c
frame-Attributed_information-on_authority_of.prep	attributed_information#on_authority_of.c
frame-Avoiding-duck.v	avoiding#avoid.v	avoiding#avoidance.n	avoiding#dodge.v	avoiding#eschew.v	avoiding#evade.v	avoiding#shun.v	avoiding#sidestep.v	avoiding#skirt.v
frame-Avoiding-shirk.v	avoiding#shrink_from.v
frame-Awareness-hunch.n	awareness#suspicion.n
frame-Awareness-know.v	awareness#aware.a	awareness#awareness.n	awareness#cognizant.a	awareness#comprehend.v	awareness#comprehension.n	awareness#consciousness.n	awareness#understand.v	awareness#understanding.n
frame-Awareness-presume.v	awareness#presumption.n	awareness#supposition.n
