fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Catastrophe-mishap.n	catastrophe#mischance.n
frame-Catastrophe-tragedy.n	catastrophe#calamitous.a	catastrophe#calamity.n	catastrophe#cataclysm.n	catastrophe#catastrophe.n	catastrophe#disaster.n	catastrophe#disastrous.a
frame-Categorization-class.v	categorization#categorization.n	categorization#categorize.v	categorization#classification.n	categorization#classify.v
frame-Categorization-construe.v	categorization#interpret.v	categorization#interpretation.n
frame-Categorization-pigeonhole.v	categorization#stereotype.v
frame-Categorization-translate.v	categorization#understand.v
frame-Categorization-view.v	categorization#conceive.v	categorization#consider.v	categorization#regard.v
frame-Causation-because_of.prep	causation#because_of.c
frame-Causation-cause.v	causation#bring_on.v	causation#causative.a	causation#cause.n	causation#induce.v	causation#reason.n
frame-Causation-give_rise.v	causation#bring_about.v
frame-Causation-result_(in).v	causation#result.n
frame-Cause_bodily_experience-rub.v	cause_bodily_experience#chafe.v	cause_bodily_experience#itch.v	cause_bodily_experience#scratch.v
frame-Cause_change-vary.v	cause_change#alter.v	cause_change#alteration.n	cause_change#change.v	cause_change#modification.n	cause_change#modify.v
frame-Cause_change_of_consistency-clot.v	cause_change_of_consistency#coagulate.v	cause_change_of_consistency#curdle.v
frame-Cause_change_of_consistency-set.v	cause_change_of_consistency#congeal.v	cause_change_of_consistency#harden.v	cause_change_of_consistency#indurate.v	cause_change_of_consistency#jell.v
frame-Cause_change_of_consistency-thicken.v	cause_change_of_consistency#inspissate.v
frame-Cause_change_of_phase-flux.v	cause_change_of_phase#liquefy.v
frame-Cause_change_of_phase-melt.v	cause_change_of_phase#thaw.v	cause_change_of_phase#unfreeze.v
frame-Cause_change_of_position_on_a_scale-cut.v	cause_change_of_position_on_a_scale#decrease.v	cause_change_of_position_on_a_scale#diminish.v	cause_change_of_position_on_a_scale#reduce.v	cause_change_of_position_on_a_scale#reduction.n
frame-Cause_change_of_position_on_a_scale-push.v	cause_change_of_position_on_a_scale#push.n
frame-Cause_change_of_position_on_a_scale-step_up.v	cause_change_of_position_on_a_scale#increase.v
frame-Cause_change_of_strength-fortify.v	cause_change_of_strength#reinforce.v	cause_change_of_strength#strengthen.v
frame-Cause_emotion-insult.v	cause_emotion#affront.n	cause_emotion#affront.v	cause_emotion#insult.n
frame-Cause_emotion-offend.v	cause_emotion#offense.n
frame-Cause_expansion-blow_up.v	cause_expansion#enlarge.v	cause_expansion#magnify.v
frame-Cause_expansion-expansion.n	cause_expansion#enlargement.n
frame-Cause_expansion-narrow.v	cause_expansion#contraction.n
frame-Cause_expansion-shrink.v	cause_expansion#reduction.n
frame-Cause_fluidic_motion-splash.v	cause_fluidic_motion#spatter.v	cause_fluidic_motion#splatter.v
frame-Cause_harm-bash.v	cause_harm#belt.v	cause_harm#smash.v
frame-Cause_harm-beat.v	cause_harm#beat_up.v	cause_harm#cane.v	cause_harm#flagellate.v	cause_harm#flog.v	cause_harm#lash.v	cause_harm#welt.v	cause_harm#whip.v
frame-Cause_harm-biff.v	cause_harm#clout.v	cause_harm#pummel.v	cause_harm#punch.v
frame-Cause_harm-break.v	cause_harm#crack.v	cause_harm#fracture.v
frame-Cause_harm-burn.v	cause_harm#sting.v
frame-Cause_harm-club.v	cause_harm#bludgeon.v
frame-Cause_harm-electrocute.v	cause_harm#electrocution.n
frame-Cause_harm-hit.v	cause_harm#strike.v
frame-Cause_harm-hurt.v	cause_harm#bruise.v
frame-Cause_harm-impale.v	cause_harm#transfix.v
frame-Cause_harm-maim.v	cause_harm#maul.v	cause_harm#mutilate.v
frame-Cause_harm-slap.v	cause_harm#smack.v	cause_harm#thwack.v
frame-Cause_harm-stab.v	cause_harm#knife.v
frame-Cause_harm-wound.v	cause_harm#injure.v
frame-Cause_impact-bang.v	cause_impact#slam.v
frame-Cause_impact-clash.v	cause_impact#collide.v
frame-Cause_impact-click.v	cause_impact#clink.v
frame-Cause_impact-hit.v	cause_impact#rap.v	cause_impact#strike.v
frame-Cause_impact-ram.v	cause_impact#crash.v
frame-Cause_impact-slap.v	cause_impact#smack.v
frame-Cause_motion-cast.v	cause_motion#hurl.v
frame-Cause_motion-toss.v	cause_motion#chuck.v	cause_motion#pitch.v
frame-Cause_motion-tug.v	cause_motion#attract.v	cause_motion#drag.v	cause_motion#draw.v	cause_motion#force.v	cause_motion#haul.v	cause_motion#jerk.v	cause_motion#pull.v	cause_motion#push.v	cause_motion#shove.v	cause_motion#thrust.v	cause_motion#yank.v
frame-Cause_temperature_change-cool.v	cause_temperature_change#chill.v	cause_temperature_change#cool_down.v
frame-Cause_temperature_change-heat.v	cause_temperature_change#heat_up.v	cause_temperature_change#warm.v
frame-Cause_to_amalgamate-jumble.v	cause_to_amalgamate#throw_together.v
frame-Cause_to_amalgamate-mix.v	cause_to_amalgamate#admix.v	cause_to_amalgamate#amalgamate.v	cause_to_amalgamate#blend.v	cause_to_amalgamate#coalesce.v	cause_to_amalgamate#combine.v	cause_to_amalgamate#commingle.v	cause_to_amalgamate#compound.v	cause_to_amalgamate#conflate.v	cause_to_amalgamate#flux.v	cause_to_amalgamate#fuse.v	cause_to_amalgamate#intermix.v	cause_to_amalgamate#meld.v	cause_to_amalgamate#merge.v	cause_to_amalgamate#unify.v	cause_to_amalgamate#unite.v
frame-Cause_to_be_dry-dry.v	cause_to_be_dry#dehydrate.v	cause_to_be_dry#desiccate.v	cause_to_be_dry#desiccation.n	cause_to_be_dry#dry_out.v	cause_to_be_dry#dry_up.v
frame-Cause_to_be_sharp-dull.v	cause_to_be_sharp#blunt.v
frame-Cause_to_be_wet-sop.v	cause_to_be_wet#douse.v	cause_to_be_wet#drench.v	cause_to_be_wet#soak.v	cause_to_be_wet#souse.v
frame-Cause_to_be_wet-wet.v	cause_to_be_wet#dampen.v	cause_to_be_wet#humidify.v	cause_to_be_wet#moisten.v	cause_to_be_wet#moisturize.v
frame-Cause_to_experience-amuse.v	cause_to_experience#divert.v	cause_to_experience#entertain.v
frame-Cause_to_fragment-break.v	cause_to_fragment#fracture.v
frame-Cause_to_fragment-break_up.v	cause_to_fragment#fragment.v
frame-Cause_to_fragment-rip.v	cause_to_fragment#cleave.v	cause_to_fragment#rend.v	cause_to_fragment#rive.v	cause_to_fragment#snap.v	cause_to_fragment#split.v	cause_to_fragment#tear.v
frame-Cause_to_fragment-shred.v	cause_to_fragment#rip_up.v	cause_to_fragment#tear_up.v
frame-Cause_to_fragment-sliver.v	cause_to_fragment#splinter.v
frame-Cause_to_fragment-smash.v	cause_to_fragment#shatter.v
frame-Cause_to_make_noise-honk.v	cause_to_make_noise#blare.v	cause_to_make_noise#toot.v
frame-Cause_to_make_noise-ring.v	cause_to_make_noise#ringer.n
frame-Cause_to_make_progress-development.n	cause_to_make_progress#modernization.n
frame-Cause_to_move_in_place-spin.v	cause_to_move_in_place#swirl.v	cause_to_move_in_place#twirl.v
frame-Cause_to_perceive-show.v	cause_to_perceive#demonstrate.v	cause_to_perceive#exhibit.v	cause_to_perceive#present.v
frame-Cause_to_rot-rot.v	cause_to_rot#putrefy.v
frame-Cause_to_start-arouse.v	cause_to_start#actuate.v	cause_to_start#elicit.v	cause_to_start#incite.v	cause_to_start#instigate.v	cause_to_start#kindle.v	cause_to_start#motivate.v	cause_to_start#prompt.v	cause_to_start#provoke.v	cause_to_start#set_off.v	cause_to_start#stir_up.v
frame-Cause_to_start-produce.v	cause_to_start#bring_about.v
frame-Cause_to_wake-wake.v	cause_to_wake#awaken.v	cause_to_wake#rouse.v	cause_to_wake#wake_up.v
frame-Ceasing_to_be-dissipate.v	ceasing_to_be#dissipation.n
frame-Ceasing_to_be-vanish.v	ceasing_to_be#disappear.v	ceasing_to_be#go_away.v
frame-Certainty-confidence.n	certainty#certain.a	certainty#sure.a
frame-Certainty-doubt.n	certainty#doubtful.a	certainty#dubious.a	certainty#skeptic.n	certainty#skeptical.a	certainty#skepticism.n	certainty#uncertainty.n
frame-Certainty-positive.a	certainty#confident.a	certainty#convinced.a
frame-Certainty-unsure.a	certainty#uncertain.a
frame-Change_direction-cut.v	change_direction#veer.v
frame-Change_direction-turn.v	change_direction#turn.n
frame-Change_event_duration-extend.v	change_event_duration#prolong.v	change_event_duration#protract.v
frame-Change_event_duration-shorten.v	change_event_duration#abbreviate.v
frame-Change_event_time-defer.v	change_event_time#hold_over.v	change_event_time#postpone.v	change_event_time#put_off.v	change_event_time#put_over.v
frame-Change_event_time-delay.v	change_event_time#delay.n
frame-Change_of_consistency-clot.v	change_of_consistency#coagulate.v	change_of_consistency#coagulation.n	change_of_consistency#curdle.v
frame-Change_of_consistency-set.v	change_of_consistency#congeal.v	change_of_consistency#harden.v	change_of_consistency#indurate.v	change_of_consistency#jell.v
frame-Change_of_leadership-depose.v	change_of_leadership#dethrone.v
frame-Change_of_leadership-elect.v	change_of_leadership#election.n
frame-Change_of_leadership-mutiny.v	change_of_leadership#mutiny.n
frame-Change_of_leadership-revolt.v	change_of_leadership#insurrection.n	change_of_leadership#overthrow.n	change_of_leadership#overthrow.v	change_of_leadership#rebellion.n	change_of_leadership#revolt.n	change_of_leadership#revolution.n	change_of_leadership#revolutionary.n	change_of_leadership#uprising.n
frame-Change_of_leadership-take_over.v	change_of_leadership#coup.n
frame-Change_of_leadership-vest.v	change_of_leadership#coronate.v	change_of_leadership#crown.v	change_of_leadership#enthrone.v	change_of_leadership#throne.v
frame-Change_of_phase-condense.v	change_of_phase#condensation.n
frame-Change_of_phase-melt.v	change_of_phase#thaw.v
frame-Change_of_phase-solidify.v	change_of_phase#solidification.n
frame-Change_of_phase-sublime.v	change_of_phase#sublimation.n
frame-Change_of_phase-vaporize.v	change_of_phase#evaporate.v	change_of_phase#evaporation.n
frame-Change_position_on_a_scale-decline.v	change_position_on_a_scale#decline.n	change_position_on_a_scale#decrease.n	change_position_on_a_scale#decrease.v	change_position_on_a_scale#diminish.v	change_position_on_a_scale#fall.n
frame-Change_position_on_a_scale-gain.v	change_position_on_a_scale#advance.v
frame-Change_position_on_a_scale-grow.v	change_position_on_a_scale#gain.n	change_position_on_a_scale#increase.n	change_position_on_a_scale#increase.v
frame-Change_position_on_a_scale-growth.n	change_position_on_a_scale#growing.a
frame-Change_position_on_a_scale-increasingly.adv	change_position_on_a_scale#increasingly.c
frame-Change_position_on_a_scale-rise.v	change_position_on_a_scale#rise.n
frame-Change_position_on_a_scale-rocket.v	change_position_on_a_scale#skyrocket.v
frame-Change_position_on_a_scale-swing.v	change_position_on_a_scale#fluctuate.v	change_position_on_a_scale#fluctuation.n
frame-Change_posture-sit.v	change_posture#sit_down.v
frame-Change_posture-stand.v	change_posture#stand_up.v
frame-Change_posture-stoop.v	change_posture#crouch.v
frame-Change_tool-swap.v	change_tool#switch.v	change_tool#trade.v
frame-Chatting-chat.v	chatting#chat.n	chatting#chit-chat.n	chatting#gossip.n	chatting#gossip.v	chatting#shoot_the_breeze.v
frame-Chatting-converse.v	chatting#conversation.n
frame-Chatting-gab.v	chatting#yak.v
frame-Chatting-talk.v	chatting#speak.v
frame-Chemical-sense_description-bland.a	chemical-sense_description#flavourless.a	chemical-sense_description#insipid.a	chemical-sense_description#tasteless.a
frame-Chemical-sense_description-bouquet.n	chemical-sense_description#aromatic.a	chemical-sense_description#fragrance.n	chemical-sense_description#fragrant.a
frame-Chemical-sense_description-reek.v	chemical-sense_description#aroma.n	chemical-sense_description#malodorous.a	chemical-sense_description#odor.n	chemical-sense_description#reek.n	chemical-sense_description#scent.n	chemical-sense_description#smell.v	chemical-sense_description#smelly.a	chemical-sense_description#stench.n	chemical-sense_description#stink.n	chemical-sense_description#stink.v
frame-Chemical-sense_description-tart.a	chemical-sense_description#flavourful.a	chemical-sense_description#flavoursome.a	chemical-sense_description#piquant.a	chemical-sense_description#sapid.a	chemical-sense_description#spicy.a
frame-Chemical-sense_description-yummy.a	chemical-sense_description#delectable.a	chemical-sense_description#delicious.a	chemical-sense_description#scrumptious.a	chemical-sense_description#toothsome.a
frame-Choosing-opt.v	choosing#choice.n	choosing#choose.v	choosing#pick.n	choosing#pick.v	choosing#select.v	choosing#selection.n
frame-Clarity_of_resolution-narrowly.adv	clarity_of_resolution#narrowly.c
frame-Closure-open.v	closure#unfasten.v
frame-Clothing-bra.n	clothing#brassiere.n
frame-Clothing-breeches.n	clothing#knickers.n
frame-Clothing-dress.n	clothing#frock.n
frame-Clothing-garb.n	clothing#apparel.n	clothing#attire.n	clothing#clothes.n	clothing#clothing.n	clothing#garment.n	clothing#outfit.n	clothing#raiment.n	clothing#regalia.n	clothing#robe.n	clothing#vestment.n
frame-Clothing-gown.n	clothing#nightdress.n	clothing#nightgown.n	clothing#nightie.n
frame-Clothing-hose.n	clothing#hosiery.n
frame-Clothing-jumper.n	clothing#sweater.n
frame-Clothing-overcoat.n	clothing#greatcoat.n
frame-Clothing-parka.n	clothing#windbreaker.n	clothing#windcheater.n
frame-Clothing-slip.n	clothing#chemise.n	clothing#shift.n	clothing#teddy.n
frame-Clothing-tie.n	clothing#necktie.n
frame-Clothing-underwear.n	clothing#underclothes.n	clothing#underclothing.n
frame-Clothing-vest.n	clothing#waistcoat.n
frame-Clothing_parts-clasp.n	clothing_parts#buckle.n
frame-Clothing_parts-collar.n	clothing_parts#neckband.n
frame-Clothing_parts-sash.n	clothing_parts#waistband.n
frame-Clothing_parts-waist.n	clothing_parts#waistline.n
frame-Clothing_parts-zip.n	clothing_parts#zipper.n
frame-Cogitation-brood.v	cogitation#dwell.v
frame-Cogitation-muse.v	cogitation#contemplate.v	cogitation#contemplation.n	cogitation#meditate.v	cogitation#meditation.n	cogitation#mull_over.v	cogitation#ponder.v	cogitation#reflect.v	cogitation#reflection.n	cogitation#ruminate.v
frame-Cogitation-think.v	cogitation#consider.v	cogitation#consideration.n	cogitation#deliberate.v	cogitation#deliberation.n	cogitation#thought.n
frame-Coincidence-chance.v	coincidence#chance.n
frame-Coincidence-coincidence.n	coincidence#happenstance.n
frame-Coincidence-randomly.adv	coincidence#random.a	coincidence#randomly.c
frame-Collaboration-collude.v	collaboration#collusion.n	collaboration#conspiracy.n	collaboration#conspire.v
frame-Collaboration-cooperate.v	collaboration#collaborate.v	collaboration#collaboration.n	collaboration#collaborator.n	collaboration#cooperation.n	collaboration#partner.n
frame-Collaboration-jointly.adv	collaboration#jointly.c
frame-Collaboration-together.adv	collaboration#together.c
frame-Colonization-settle.v	colonization#colonist.n	colonization#colonize.v	colonization#colony.n	colonization#settlement_((act)).n	colonization#settlement_((entity)).n	colonization#settler.n
frame-Color-purple.a	color#violet.a
frame-Color-red.a	color#crimson.a	color#scarlet.a	color#vermilion.a
frame-Come_together-amass.v	come_together#throng.v
frame-Come_together-meet.v	come_together#gather.v
frame-Coming_to_be-arise.v	coming_to_be#develop.v	coming_to_be#spring_up.v
frame-Coming_to_be-form.v	coming_to_be#take_shape.v
frame-Coming_to_believe-find.v	coming_to_believe#ascertain.v	coming_to_believe#conclude.v	coming_to_believe#determine.v	coming_to_believe#find_out.v
frame-Coming_to_believe-guess.v	coming_to_believe#guess.n	coming_to_believe#speculate.v	coming_to_believe#surmise.v
frame-Coming_to_believe-infer.v	coming_to_believe#deduce.v	coming_to_believe#inference.n
frame-Coming_to_believe-work_out.v	coming_to_believe#figure_out.v	coming_to_believe#puzzle_out.v
frame-Coming_up_with-create.v	coming_up_with#conceive.v	coming_up_with#contrive.v	coming_up_with#cook_up.v	coming_up_with#design.n	coming_up_with#design.v	coming_up_with#devise.v	coming_up_with#formulate.v	coming_up_with#invent.v	coming_up_with#invention_artifact.n	coming_up_with#invention_process.n
frame-Coming_up_with-hatch.v	coming_up_with#concoct.v	coming_up_with#concoction.n
frame-Commemorative-April_Fool's_Day.n	commemorative#april_fool's_day.n
frame-Commemorative-Armistice_Day.n	commemorative#armistice_day.n
frame-Commemorative-Boxing_Day.n	commemorative#boxing_day.n
frame-Commemorative-Christmas_Day.n	commemorative#christmas_day.n
frame-Commemorative-Labor_Day.n	commemorative#labor_day.n
frame-Commemorative-Passover_Eve.n	commemorative#passover_eve.n
frame-Commerce_buy-buy.v	commerce_buy#purchase.v	commerce_buy#purchase_((act)).n
frame-Commerce_collect-bill.v	commerce_collect#charge.v
frame-Commerce_pay-disburse.v	commerce_pay#disbursement.n
frame-Commerce_pay-pay.v	commerce_pay#payment.n
frame-Commerce_scenario-buyer.n	commerce_scenario#purchaser.n
frame-Commerce_scenario-seller.n	commerce_scenario#trafficker.n	commerce_scenario#vendor.n
frame-Commerce_sell-auction.v	commerce_sell#auction.n
frame-Commerce_sell-sell.v	commerce_sell#vend.v	commerce_sell#vendor.n
frame-Commitment-commit.v	commitment#commitment.n
frame-Commitment-pledge.v	commitment#pledge.n	commitment#promise.n	commitment#promise.v
frame-Commitment-vow.v	commitment#vow.n
frame-Committing_crime-commit.v	committing_crime#commission.n	committing_crime#perpetrate.v
frame-Communicate_categorization-define.v	communicate_categorization#definition.n
frame-Communicate_categorization-depict.v	communicate_categorization#characterization.n	communicate_categorization#characterize.v	communicate_categorization#depiction.n	communicate_categorization#describe.v
frame-Communicate_categorization-paint.v	communicate_categorization#portray.v
frame-Communicate_categorization-redefine.v	communicate_categorization#redefinition.n
frame-Communication-communicate.v	communication#communication_((act)).n	communication#communication_((entity)).n
frame-Communication-signal.v	communication#indicate.v
frame-Communication_manner-mumble.v	communication_manner#mutter.v
frame-Communication_manner-rant.v	communication_manner#babble.v	communication_manner#chatter.v	communication_manner#gabble.v	communication_manner#gibber.v	communication_manner#jabber.v	communication_manner#natter.v	communication_manner#prattle.v	communication_manner#rave.v
frame-Communication_manner-stammer.v	communication_manner#stutter.v
frame-Communication_means-phone.v	communication_means#telephone.v
frame-Communication_means-wire.v	communication_means#cable.v	communication_means#telegraph.v
frame-Communication_noise-burble.v	communication_noise#gurgle.v
frame-Communication_noise-chirp.v	communication_noise#chirrup.v	communication_noise#twitter.v
frame-Communication_noise-cry.v	communication_noise#bawl.v	communication_noise#bellow.v	communication_noise#croak.v	communication_noise#groan.v	communication_noise#howl.v	communication_noise#moan.v	communication_noise#murmur.v	communication_noise#roar.v	communication_noise#scream.v	communication_noise#screech.v	communication_noise#shriek.v	communication_noise#shrill.v	communication_noise#squawk.v	communication_noise#squeak.v	communication_noise#wail.v	communication_noise#whimper.v	communication_noise#whine.v	communication_noise#yell.v
frame-Communication_noise-gasp.v	communication_noise#snort.v
frame-Communication_noise-growl.v	communication_noise#rumble.v
frame-Communication_noise-grunt.v	communication_noise#squeal.v
frame-Communication_noise-hiss.v	communication_noise#hoot.v
frame-Communication_noise-sputter.v	communication_noise#splutter.v
frame-Communication_noise-trill.v	communication_noise#warble.v
frame-Communication_response-rejoin.v	communication_response#come_back.v	communication_response#comeback.n	communication_response#counter.v	communication_response#rejoinder.n	communication_response#retort.n	communication_response#retort.v	communication_response#riposte.n
frame-Communication_response-reply.v	communication_response#answer.n	communication_response#answer.v	communication_response#reply.n	communication_response#respond.v	communication_response#response.n
frame-Compatibility-at_variance.prep	compatibility#at_variance.c
frame-Compatibility-compatibility.n	compatibility#compatible.a
frame-Compatibility-congruent.a	compatibility#congruous.a
frame-Compatibility-incompatibility.n	compatibility#incompatible.a
frame-Compatibility-jibe.v	compatibility#accord.v	compatibility#agree.v	compatibility#consonant.a	compatibility#harmonize.v	compatibility#harmony.n	compatibility#match.v
frame-Competition-compete.v	competition#competition.n	competition#competitive.a	competition#competitor.n	competition#rival.n	competition#rivalry.n
frame-Competition-play.v	competition#player.n
frame-Complaining-moan.v	complaining#bitch.v	complaining#complain.v	complaining#complaint.n	complaining#gripe.n	complaining#gripe.v	complaining#grouse.v	complaining#grumble.v	complaining#whine.v
frame-Completeness-completeness.n	completeness#complete.a
frame-Completeness-full.a	completeness#total.a
frame-Compliance-adhere.v	compliance#adherence.n
frame-Compliance-break.v	compliance#breach.v	compliance#contravene.v	compliance#contravention.n	compliance#transgress.v	compliance#transgression.n	compliance#violate.v	compliance#violation.n
frame-Compliance-comply.v	compliance#compliance.n	compliance#compliant.a	compliance#conformity.n	compliance#follow.v
frame-Compliance-disobey.v	compliance#noncompliance.n
frame-Compliance-honor.v	compliance#observance.n	compliance#observant.a	compliance#observe.v
frame-Compliance-obey.v	compliance#obedient.a
frame-Concessive-although.scon	concessive#although.c
frame-Concessive-despite.prep	concessive#despite.c
frame-Concessive-however.adv	concessive#however.c	concessive#nevertheless.c
frame-Concessive-in_spite_of.prep	concessive#in_spite_of.c
frame-Concessive-though.scon	concessive#though.c
frame-Concessive-to_be_fair.adv	concessive#to_be_fair.c
frame-Concessive-while.scon	concessive#while.c
frame-Conduct-act.v	conduct#behave.v
frame-Conduct-conduct.v	conduct#bearing.n	conduct#behavior.n	conduct#comportment.n	conduct#conduct.n	conduct#demeanor.n	conduct#deportment.n
frame-Conduct-misbehave.v	conduct#misbehavior.n
frame-Confronting_problem-face.v	confronting_problem#confront.v
frame-Connecting_architecture-lift.n	connecting_architecture#elevator.n
frame-Connectors-tie.n	connectors#connector.n	connectors#link.n
frame-Conquering-capture.v	conquering#conquer.v
frame-Contacting-cable.v	contacting#telegraph.v
frame-Contacting-ring.v	contacting#call.n	contacting#call_up.v	contacting#phone.v	contacting#telephone.v
frame-Containers-backpack.n	containers#haversack.n	containers#knapsack.n	containers#rucksack.n
frame-Containers-can.n	containers#canister.n
frame-Containers-carafe.n	containers#decanter.n
frame-Containers-cask.n	containers#barrel.n
frame-Containers-casket.n	containers#coffin.n
frame-Containers-cuspidor.n	containers#spittoon.n
frame-Containers-goblet.n	containers#chalice.n
frame-Containers-pail.n	containers#bucket.n
frame-Containers-pot.n	containers#pot_cooking.n
frame-Containers-purse.n	containers#handbag.n
frame-Containers-vial.n	containers#ampule.n
frame-Containment_relation-in.prep	containment_relation#in.c
frame-Contingency-dependence.n	contingency#dependent.a
frame-Contingency-independence.n	contingency#independent.a
frame-Continued_state_of_affairs-as_of_yet.adv	continued_state_of_affairs#as_of_yet.c
frame-Continued_state_of_affairs-as_yet.adv	continued_state_of_affairs#as_yet.c	continued_state_of_affairs#so_far.c
frame-Continued_state_of_affairs-still.adv	continued_state_of_affairs#still.c
frame-Continued_state_of_affairs-to_date.adv	continued_state_of_affairs#to_date.c
frame-Continued_state_of_affairs-up_to.prep	continued_state_of_affairs#up_to.c
frame-Contrition-guilt.n	contrition#guilty.a
frame-Contrition-rue.v	contrition#contrite.a	contrition#contrition.n	contrition#penitence.n	contrition#penitent.a	contrition#remorseful.a	contrition#repent.v	contrition#repentance.n	contrition#repentant.a	contrition#rueful.a
frame-Convey_importance-stress.v	convey_importance#emphasize.v	convey_importance#underline.v	convey_importance#underscore.v
frame-Cooking_creation-concoct.v	cooking_creation#cook_up.v
frame-Cooking_creation-cook.v	cooking_creation#prepare.v
frame-Corporal_punishment-cane.v	corporal_punishment#flog.v	corporal_punishment#flogging.n	corporal_punishment#lash.n	corporal_punishment#scourge.v
frame-Corporal_punishment-spank.v	corporal_punishment#paddle.v
frame-Correctness-correctness.n	correctness#correct.a	correctness#right.a
frame-Correctness-wrong.a	correctness#incorrect.a
frame-Corroding-rust.v	corroding#corrode.v
frame-Cotheme-dog.v	cotheme#chase.v	cotheme#follow.v	cotheme#pursue.v	cotheme#pursuer.n	cotheme#pursuit.n	cotheme#shadow.v	cotheme#tail.v	cotheme#track.v	cotheme#trail.v
frame-Cotheme-lead.v	cotheme#conduct.v	cotheme#guide.v	cotheme#show.v	cotheme#usher.v
frame-Court_examination-examine.v	court_examination#examination.n
frame-Creating-create.v	creating#produce.v	creating#production.n
frame-Creating-form.v	creating#formation.n
frame-Creating-yield.v	creating#generate.v
frame-Criminal_investigation-probe.v	criminal_investigation#inquire.v	criminal_investigation#investigate.v	criminal_investigation#investigation.n	criminal_investigation#probe.n
frame-Criminal_investigation-under_investigation.prep	criminal_investigation#under_investigation.c
frame-Cure-cure.v	cure#curable.a	cure#curative.a	cure#curative.n	cure#cure.n	cure#heal.v	cure#healer.n	cure#remedy.n	cure#remedy.v	cure#therapeutic.a	cure#therapist.n	cure#therapy.n
frame-Cure-ease.v	cure#alleviate.v	cure#alleviation.n	cure#palliate.v	cure#palliation.n	cure#palliative.a	cure#palliative.n
frame-Cure-rehabilitate.v	cure#rehabilitative.a
frame-Cure-treat.v	cure#treatment.n
frame-Custom-custom.n	custom#habitual.a
frame-Custom-traditionally.adv	custom#customary.a	custom#tradition.n	custom#traditional.a	custom#traditionally.c
frame-Cutting-cube.v	cutting#dice.v
frame-Damaging-chip.v	damaging#nick.v
frame-Damaging-damage.v	damaging#damage.n
frame-Damaging-dent.v	damaging#scrape.v	damaging#scratch.v
frame-Damaging-mar.v	damaging#deface.v
frame-Damaging-rip.v	damaging#rend.v	damaging#tear.v
frame-Daring-risk.v	daring#chance.v	daring#hazard.v	daring#risk.n	daring#venture.v
frame-Dead_or_alive-lifeless.a	dead_or_alive#nonliving.a
frame-Death-die.v	death#croak.v	death#death.n	death#decease.v	death#expire.v	death#kick_the_bucket.v	death#pass_away.v	death#perish.v
frame-Death-suffocate.v	death#asphyxiate.v	death#suffocation.n
frame-Deciding-decide.v	deciding#decision.n
frame-Defend-defend.v	defend#defender.n	defend#defensive.a
frame-Degree-a_little.adv	degree#a_little.c
frame-Degree-a_little_bit.adv	degree#a_little_bit.c
frame-Degree-far.adv	degree#far.c
frame-Degree-fully.adv	degree#fully.c
frame-Degree-heavily.adv	degree#heavily.c
frame-Degree-so.adv	degree#so.c
frame-Degree-somewhat.adv	degree#somewhat.c
frame-Degree-that.adv	degree#that.c
frame-Degree-totally.adv	degree#totally.c
frame-Degree-very.adv	degree#very.c
frame-Delimitation_of_diversity-from_to.prep	delimitation_of_diversity#from_to.c
frame-Delivery-deliver.v	delivery#delivery.n
frame-Deny_permission-forbid.v	deny_permission#prohibit.v
frame-Departing-decamp.v	departing#vamoose.v
frame-Departing-escape.v	departing#escape.n
frame-Departing-exit.v	departing#depart.v	departing#departure.n	departing#emerge.v	departing#exit.n	departing#leave.v	departing#set_off.v	departing#set_out.v
frame-Departing-vanish.v	departing#disappear.v	departing#disappearance.n
frame-Deserving-justify.v	deserving#warrant.v
frame-Deserving-merit.v	deserving#deserve.v	deserving#worth.a
frame-Desirability-amazing.a	desirability#astonishing.a
frame-Desirability-awful.a	desirability#dreadful.a	desirability#nasty.a	desirability#terrible.a
frame-Desirability-crappy.a	desirability#rotten.a	desirability#shitty.a
frame-Desirability-excellence.n	desirability#excellent.a	desirability#splendid.a
frame-Desirability-fair.a	desirability#average.a
frame-Desirability-fine.a	desirability#okay.a
frame-Desirability-mediocre.a	desirability#second-rate.a
frame-Desirability-pitiful.a	desirability#execrable.a	desirability#miserable.a	desirability#pathetic.a
frame-Desirability-super.a	desirability#first-rate.a	desirability#top-notch.a
frame-Desirability-terrific.a	desirability#fantastic.a	desirability#magnificent.a	desirability#marvellous.a	desirability#tremendous.a	desirability#wonderful.a
frame-Desiring-aspire.v	desiring#ambition.n	desiring#aspiration.n
frame-Desiring-hope.v	desiring#desire.n	desiring#desire.v	desiring#desirous.a	desiring#hope.n	desiring#want.v	desiring#wish.n	desiring#wish.v	desiring#wish_(that).v
frame-Desiring-in_hopes_of.prep	desiring#in_hopes_of.c
frame-Desiring-in_the_hope_of.prep	desiring#in_the_hope_of.c
frame-Desiring-itch.v	desiring#urge.n
frame-Desiring-loath.a	desiring#reluctant.a
frame-Desiring-will.v	desiring#will.n
frame-Desiring-yen.v	desiring#ache.v	desiring#crave.v	desiring#craving.n	desiring#hanker.v	desiring#hankering.n	desiring#hunger.n	desiring#hunger.v	desiring#long.v	desiring#longing.n	desiring#lust.n	desiring#lust.v	desiring#pine.v	desiring#thirst.n	desiring#thirst.v	desiring#thirsty.a	desiring#yearn.v	desiring#yearning.n	desiring#yen.n
